product_brand,product_title,product_model,product_url,product_price,product_price_original,product_discount,product_discount_percentage,product_rating_average,product_reviews_number,product_rating_5,product_rating_4,product_rating_3,product_rating_2,product_rating_1
Whirlpool,"24 in. 12.7 cu. ft. Bottom Freezer Refrigerator in Fingerprint Resistant Stainless, Counter Depth",Model # WRB543CMJZ,https://www.homedepot.com/p/Whirlpool-24-in-12-7-cu-ft-Bottom-Freezer-Refrigerator-in-Fingerprint-Resistant-Stainless-Counter-Depth-WRB543CMJZ/312842804,1349.0,1499.0,150.0,10.01,3.4,97,41,17,6,5,28
Whirlpool,22 cu. Ft. Side by Side Refrigerator in White,Model # WRS312SNHW,https://www.homedepot.com/p/Whirlpool-22-cu-Ft-Side-by-Side-Refrigerator-in-White-WRS312SNHW/302994260,1499.0,1499.0,0.0,0.0,4.27,699,387,199,62,20,31
Whirlpool,12.9 cu. ft. Built-In and Standard Top Freezer Refrigerator in Black,Model # WRT313CZLB,https://www.homedepot.com/p/Whirlpool-12-9-cu-ft-Built-In-and-Standard-Top-Freezer-Refrigerator-in-Black-WRT313CZLB/318445367,629.0,699.0,70.0,10.01,4.0,11,7,1,1,0,2
Whirlpool,33 in. 21.4 cu. ft. Side by Side Refrigerator in Biscuit,Model # WRS311SDHT,https://www.homedepot.com/p/Whirlpool-33-in-21-4-cu-ft-Side-by-Side-Refrigerator-in-Biscuit-WRS311SDHT/310811379,1599.0,1599.0,0.0,0.0,4.5,279,162,85,25,3,4
Whirlpool,16 cu. ft. Top Freezer Refrigerator in White,Model # WRT106TFDW,https://www.homedepot.com/p/Whirlpool-16-cu-ft-Top-Freezer-Refrigerator-in-White-WRT106TFDW/205584075,719.0,799.0,80.0,10.01,4.4,124,78,29,8,4,5
Whirlpool,30 in. 18.25 cu. ft. Top Freezer Refrigerator in White,Model # WRT148FZDW,https://www.homedepot.com/p/Whirlpool-30-in-18-25-cu-ft-Top-Freezer-Refrigerator-in-White-WRT148FZDW/310782287,899.0,999.0,100.0,10.01,4.4,118,70,26,16,3,3
Whirlpool,"24 in. 12.7 cu. ft. Bottom Freezer Refrigerator in Fingerprint Resistant Stainless, Counter Depth",Model # WRB533CZJZ,https://www.homedepot.com/p/Whirlpool-24-in-12-7-cu-ft-Bottom-Freezer-Refrigerator-in-Fingerprint-Resistant-Stainless-Counter-Depth-WRB533CZJZ/312842235,1169.0,1299.0,130.0,10.01,3.49,75,32,15,6,2,20
Whirlpool,25 cu. ft. Side by Side Refrigerator in Monochromatic Stainless Steel,Model # WRS335SDHM,https://www.homedepot.com/p/Whirlpool-25-cu-ft-Side-by-Side-Refrigerator-in-Monochromatic-Stainless-Steel-WRS335SDHM/305518511,1619.0,1799.0,180.0,10.01,4.1,131,57,43,17,3,11
Whirlpool,18.25 cu. ft. Top Freezer Built-In and Standard Refrigerator in Monochromatic Stainless Steel,Model # WRT108FFDM,https://www.homedepot.com/p/Whirlpool-18-25-cu-ft-Top-Freezer-Built-In-and-Standard-Refrigerator-in-Monochromatic-Stainless-Steel-WRT108FFDM/317995318,899.0,999.0,100.0,10.01,0.0,0,0,0,0,0,0
Whirlpool,21.3 cu. ft. Top Freezer Refrigerator in Monochromatic Stainless Steel,Model # WRT541SZDM,https://www.homedepot.com/p/Whirlpool-21-3-cu-ft-Top-Freezer-Refrigerator-in-Monochromatic-Stainless-Steel-WRT541SZDM/205658494,1169.0,1299.0,130.0,10.01,4.28,759,428,206,70,21,34
Whirlpool,17.78 cu. ft. Freezerless Refrigerator in White,Model # WRR56X18FW,https://www.homedepot.com/p/Whirlpool-17-78-cu-ft-Freezerless-Refrigerator-in-White-WRR56X18FW/206891678,1844.0,2049.0,205.0,10.0,4.1,599,356,111,28,8,96
Whirlpool,12.9 cu. ft. Top Freezer Built-In and Standard Refrigerator in White,Model # WRT313CZLW,https://www.homedepot.com/p/Whirlpool-12-9-cu-ft-Top-Freezer-Built-In-and-Standard-Refrigerator-in-White-WRT313CZLW/317887664,629.0,699.0,70.0,10.01,3.7,32,14,5,5,4,4
Whirlpool,18.7 cu. ft. Bottom Freezer Refrigerator in Monochromatic Stainless Steel,Model # WRB329DMBM,https://www.homedepot.com/p/Whirlpool-18-7-cu-ft-Bottom-Freezer-Refrigerator-in-Monochromatic-Stainless-Steel-WRB329DMBM/205140688,1799.0,1999.0,200.0,10.01,4.5,1722,1078,458,103,37,46
Whirlpool,25 cu. ft. Side by Side Refrigerator in Fingerprint Resistant Stainless Steel,Model # WRS555SIHZ,https://www.homedepot.com/p/Whirlpool-25-cu-ft-Side-by-Side-Refrigerator-in-Fingerprint-Resistant-Stainless-Steel-WRS555SIHZ/303419575,1899.0,1899.0,0.0,0.0,4.2,1473,672,476,200,53,72
